classe_obf	typedef_index	nom_clair	score	methode	statut	note
		Com.Ankama.Dofus.Server.Game.Protocol.Alliance.Rank.AllianceRanksRequest			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Alliance.Recruitment.AllianceApplicationListEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Alliance.Recruitment.AllianceApplicationListenRequest			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Alliance.Recruitment.AllianceApplicationPresenceEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Alliance.Recruitment.AllianceApplicationResponseEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Alteration.Alteration			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Alteration.AlterationAddedEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Anomaly.AnomalySubareaInformationEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Arena.ArenaFighterStatusEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Arena.ArenaLeagueRewardsEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Arena.ArenaRegistrationStatusEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Arena.ArenaStateResponse			À_CLASSER	354 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Arena.ArenaUpdatePlayerInformationEvent			À_CLASSER	12 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Arena.SurrenderInfoResponse			À_CLASSER	0 candidat de même forme dans Ankama.Dofus.Protocol.Game.dll (forme=(((),), ((), ())))
		Com.Ankama.Dofus.Server.Game.Protocol.Arena.SurrenderVoteCastRequest			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Atlas.CompassUpdateEvent			À_CLASSER	354 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Bak.BakCancelBidRequest			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Bak.BakConsumeBufferRequest			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Bak.BakTransactionValidationEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Basic.DateEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Basic.TextInformationEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Basic.WhoIsNumericEvent			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Bonus.Bonus			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Card.CardInfoRequest			À_CLASSER	1098 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Card.CardInfoResponse			À_CLASSER	73 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
		Com.Ankama.Dofus.Server.Game.Protocol.Card.CardOpenOutfitDraftResponse			À_CLASSER	354 candidats à égalité de forme dans Ankama.Dofus.Protocol.Game.dll — aucun élu sans preuve supplémentaire
