nom_message_clair	nom_complet	opcode_ou_typeurl	direction	champs	fichier:ligne
	hge	hge		1:string:egmo	refs/dofus-deobfs/protos/filtered/hge.proto:3
	hgf	hgf		1:string:egms	refs/dofus-deobfs/protos/filtered/hgf.proto:3
	hgg	hgg		1:string:egmw;2:jos:egmx	refs/dofus-deobfs/protos/filtered/hgg.proto:4
	hgh	hgh		1:string:egnb;2:int32:egnc	refs/dofus-deobfs/protos/filtered/hgh.proto:3
	hgi	hgi		1:string:egng;2:int32:egnh;3:int32:egni	refs/dofus-deobfs/protos/filtered/hgi.proto:3
	hgj	hgj			refs/dofus-deobfs/protos/filtered/hgj.proto:3
	hgk	hgk			refs/dofus-deobfs/protos/filtered/hgk.proto:3
	hgl	hgl		1:string:egns;2:jos:egnt	refs/dofus-deobfs/protos/filtered/hgl.proto:4
	hgm	hgm		1:string:egnx;2:int32:egny	refs/dofus-deobfs/protos/filtered/hgm.proto:3
	hgn	hgn		1:string:egoc;2:int32:egod;3:int32:egoe	refs/dofus-deobfs/protos/filtered/hgn.proto:3
	hgo	hgo		1:repeated jom:egoi;2:repeated jom:egoj	refs/dofus-deobfs/protos/filtered/hgo.proto:4
	hgp	hgp		1:string:egon;2:jdo:egoo	refs/dofus-deobfs/protos/filtered/hgp.proto:4
	hgq	hgq		1:int64:egos;2:jom:egot	refs/dofus-deobfs/protos/filtered/hgq.proto:4
	hgr	hgr		1:string:egox	refs/dofus-deobfs/protos/filtered/hgr.proto:3
	hgs	hgs		1:int32:egpb;2:int32:egpc;3:jms:egpd;4:string:egpe;5:string:egpf	refs/dofus-deobfs/protos/filtered/hgs.proto:4
	hgt	hgt		1:bool:egpj;2:int32:egpk;3:int32:egpl;4:jms:egpm;5:string:egpn;6:string:egpo	refs/dofus-deobfs/protos/filtered/hgt.proto:4
	hgu	hgu		1:string:egps;2:int64:egpt;3:string:egpu	refs/dofus-deobfs/protos/filtered/hgu.proto:3
	hgx	hgx		1:hgv:egpy;2:int32:egpz;3:int32:egqa;4:jms:egqb;5:int64:egqc;6:string:egqd	refs/dofus-deobfs/protos/filtered/hgx.proto:4
	hgy	hgy		1:repeated hgx:egqh	refs/dofus-deobfs/protos/filtered/hgy.proto:4
	hgz	hgz		1:string:egql;2:jne:egqm;3:bool:egqn;4:repeated jhi:egqo	refs/dofus-deobfs/protos/filtered/hgz.proto:5
	hhc	hhc		1:hha:egqs	refs/dofus-deobfs/protos/filtered/hhc.proto:3
	hhd	hhd		1:jom:egqw	refs/dofus-deobfs/protos/filtered/hhd.proto:4
	hhe	hhe		1:string:egra;2:repeated jos:egrb	refs/dofus-deobfs/protos/filtered/hhe.proto:4
	hhf	hhf		1:repeated jot:egrf	refs/dofus-deobfs/protos/filtered/hhf.proto:4
	hhg	hhg		1:string:egrj;2:repeated jos:egrk	refs/dofus-deobfs/protos/filtered/hhg.proto:4
	hhh	hhh			refs/dofus-deobfs/protos/filtered/hhh.proto:3
	hhj	hhj		1:string:egrs;2:int32:egrt	refs/dofus-deobfs/protos/filtered/hhj.proto:3
	hhk	hhk		1:string:egrx	refs/dofus-deobfs/protos/filtered/hhk.proto:3
	hhl	hhl		1:string:egsb	refs/dofus-deobfs/protos/filtered/hhl.proto:3
	hhm	hhm		1:string:egsf	refs/dofus-deobfs/protos/filtered/hhm.proto:3
	hhn	hhn		1:repeated hhr:egsj	refs/dofus-deobfs/protos/filtered/hhn.proto:4
	hho	hho		1:repeated int32:egsn	refs/dofus-deobfs/protos/filtered/hho.proto:3
	hhp	hhp		1:repeated hhr:egsr	refs/dofus-deobfs/protos/filtered/hhp.proto:4
	hhq	hhq		1:repeated int32:egsv	refs/dofus-deobfs/protos/filtered/hhq.proto:3
	hhr	hhr		1:string:egsz;2:int32:egta	refs/dofus-deobfs/protos/filtered/hhr.proto:3
	hhs	hhs		1:hhw:egte	refs/dofus-deobfs/protos/filtered/hhs.proto:4
	hht	hht		1:string:egti	refs/dofus-deobfs/protos/filtered/hht.proto:3
	hhu	hhu		1:repeated hhv:egtm	refs/dofus-deobfs/protos/filtered/hhu.proto:4
	hhv	hhv		1:hhw:egtq;2:hhx:egtr	refs/dofus-deobfs/protos/filtered/hhv.proto:5
	hhw	hhw		1:string:egtv;2:string:egtw;3:int32:egtx	refs/dofus-deobfs/protos/filtered/hhw.proto:3
	hhx	hhx		1:repeated int32:egub	refs/dofus-deobfs/protos/filtered/hhx.proto:3
	hia	hia		1:int32:egug;2:int32:eguh	refs/dofus-deobfs/protos/filtered/hia.proto:3
	hib	hib		1:int32:egul;2:int32:egum	refs/dofus-deobfs/protos/filtered/hib.proto:3
	hic	hic		1:hhz:eguq	refs/dofus-deobfs/protos/filtered/hic.proto:4
	hid	hid		1:int32:eguu	refs/dofus-deobfs/protos/filtered/hid.proto:3
	hie	hie		1:hhz:eguy	refs/dofus-deobfs/protos/filtered/hie.proto:4
	hig	hig		1:int32:egvd;2:int32:egve;3:int32:egvf;4:int32:egvg;5:int32:egvh	refs/dofus-deobfs/protos/filtered/hig.proto:3
	hih	hih		1:int32:egvl	refs/dofus-deobfs/protos/filtered/hih.proto:3
	hii	hii		1:int32:egvp	refs/dofus-deobfs/protos/filtered/hii.proto:3
	hij	hij		1:repeated int32:egvt;2:repeated int32:egvu	refs/dofus-deobfs/protos/filtered/hij.proto:3
	hil	hil		1:int32:egvz	refs/dofus-deobfs/protos/filtered/hil.proto:3
	hio	hio		1:int32:egwd;2:him:egwe	refs/dofus-deobfs/protos/filtered/hio.proto:3
	hip	hip		1:int64:egwi;2:jph:egwj	refs/dofus-deobfs/protos/filtered/hip.proto:4
	hiq	hiq		1:int64:egwn;2:jdq:egwo;3:jdr:egwp;4:int32:egwq	refs/dofus-deobfs/protos/filtered/hiq.proto:5
	hir	hir		1:int32:egwu;2:bool:egwv	refs/dofus-deobfs/protos/filtered/hir.proto:3
	his	his		1:int32:egwz	refs/dofus-deobfs/protos/filtered/his.proto:3
	hiv	hiv		1:hit:egxd;2:repeated int32:egxe	refs/dofus-deobfs/protos/filtered/hiv.proto:3
	hiy	hiy		1:hiw:egxi;2:repeated hja:egxj	refs/dofus-deobfs/protos/filtered/hiy.proto:4
	hiz	hiz		1:bool:egxn;2:repeated hja:egxo;3:repeated hja:egxp	refs/dofus-deobfs/protos/filtered/hiz.proto:4
	hja	hja		1:int32:egxt;2:int32:egxu;3:bool:egxv	refs/dofus-deobfs/protos/filtered/hja.proto:3
	hjc	hjc		1:int32:egyb	refs/dofus-deobfs/protos/filtered/hjc.proto:3
	hjd	hjd		1:int64:egyf;2:int32:egyg;3:int64:egyh;4:int32:egyj	refs/dofus-deobfs/protos/filtered/hjd.proto:3
	hje	hje		1:repeated int32:egyo	refs/dofus-deobfs/protos/filtered/hje.proto:3
	hjf	hjf		1:int32:egys	refs/dofus-deobfs/protos/filtered/hjf.proto:3
	hji	hji		1:hjg:egyw;2:int32:egyx	refs/dofus-deobfs/protos/filtered/hji.proto:3
	hjj	hjj		1:int64:egzb;2:int64:egzc;3:int32:egzd	refs/dofus-deobfs/protos/filtered/hjj.proto:3
	hjk	hjk		1:bool:egzh	refs/dofus-deobfs/protos/filtered/hjk.proto:3
	hjl	hjl			refs/dofus-deobfs/protos/filtered/hjl.proto:3
	hjo	hjo		1:int64:egzw;2:int64:egzx;3:string:egzy;4:int32:egzz;5:int32:ehaa;6:jcr:ehab;7:jlg:ehac;8:jft:ehad;9:jcq:ehae;10:jie:ehaf;11:hjm:ehag	refs/dofus-deobfs/protos/filtered/hjo.proto:8
	hjo+hjm	.hjm		1:int64:egzo;2:int32:egzp;3:int32:egzq;4:bool:egzr;5:bool:egzs	refs/dofus-deobfs/protos/filtered/hjo.proto:20
	hjp	hjp		1:int64:ehak	refs/dofus-deobfs/protos/filtered/hjp.proto:3
	hjq	hjq			refs/dofus-deobfs/protos/filtered/hjq.proto:3
	hjr	hjr		1:bool:ehar	refs/dofus-deobfs/protos/filtered/hjr.proto:3
	hjs	hjs		1:int32:ehav;2:int32:ehaw	refs/dofus-deobfs/protos/filtered/hjs.proto:3
	hjt	hjt		1:bool:ehba	refs/dofus-deobfs/protos/filtered/hjt.proto:3
	hjw	hjw		1:repeated hju:ehbm	refs/dofus-deobfs/protos/filtered/hjw.proto:4
	hjw+hju	.hju		1:int64:ehbe;2:jct:ehbf;3:int32:ehbg;4:int32:ehbh	refs/dofus-deobfs/protos/filtered/hjw.proto:6
	hjx	hjx		1:jct:ehbq;2:int64:ehbr;3:int32:ehbs;4:int32:ehbt	refs/dofus-deobfs/protos/filtered/hjx.proto:4
	hjy	hjy		1:int32:ehbx;2:bool:ehby	refs/dofus-deobfs/protos/filtered/hjy.proto:3
	hka	hka		1:repeated int32:ehcd;2:bool:ehce	refs/dofus-deobfs/protos/filtered/hka.proto:3
	hkd	hkd		1:hkb:ehci	refs/dofus-deobfs/protos/filtered/hkd.proto:3
	hke	hke		1:jie:ehcm	refs/dofus-deobfs/protos/filtered/hke.proto:4
	hkg	hkg		1:string:ehcr;2:int32:ehcs;3:jdk:ehct;4:bool:ehcu;5:int32:ehcv;6:int32:ehcw	refs/dofus-deobfs/protos/filtered/hkg.proto:4
	hkj	hkj		1:repeated hkh:ehdg	refs/dofus-deobfs/protos/filtered/hkj.proto:3
