nom_message_clair	nom_complet	opcode_ou_typeurl	direction	champs	fichier:ligne
TagStorageData	TagStorageData	hgq		1:Dictionary<int, string>:eacc;2:string:eacd;3:int:eace;4:string:eacf	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hgq.cs:10
RemoveTagStorageResponse	RemoveTagStorageResponse	hgr	S2C	1:string:eacj	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hgr.cs:10
TagObjectUpdateContent	TagObjectUpdateContent	hgs		1:int:eacn;2:string:eaco	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hgs.cs:10
UpdateTagStorageContentRequest	UpdateTagStorageContentRequest	hgt	C2S	1:TagStorageData:eacs	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hgt.cs:10
UpdateTagStorageContentResponse	UpdateTagStorageContentResponse	hgu	S2C	1:string:eacw	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hgu.cs:10
AddTagStorageResponse	AddTagStorageResponse	hgv	S2C	1:string:eada	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hgv.cs:10
AddTagStorageRequest	AddTagStorageRequest	hgw	C2S	1:int:eade;2:string:eadf	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hgw.cs:10
RemoveTagObjectResponse	RemoveTagObjectResponse	hgx	S2C	1:List<int>:eadj	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hgx.cs:10
AddTagObjectRequest	AddTagObjectRequest	hgy	C2S	1:List<TagObjectUpdateContent>:eadn	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hgy.cs:10
RemoveTagStorageRequest	RemoveTagStorageRequest	hgz	C2S	1:string:eadr	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hgz.cs:10
TagInformation	TagInformation	hha		1:TagStorageData:eadv;2:TagObjectData:eadw	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hha.cs:10
TagObjectData	TagObjectData	hhb		1:List<int>:eaea	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hhb.cs:10
TagStoragesRefreshEvent	TagStoragesRefreshEvent	hhc	S2C	1:List<TagInformation>:eaee	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hhc.cs:10
AddTagObjectResponse	AddTagObjectResponse	hhd	S2C	1:List<int>:eaei	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hhd.cs:10
MimicryFreeRequest	MimicryFreeRequest	hhg	C2S	1:int:eaen	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hhg.cs:10
MimicryFreeResponse	MimicryFreeResponse	hhh	S2C	1:Hhf:eaer	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hhh.cs:10
MimicryResponse	MimicryResponse	hhi	S2C	1:Hhf:eaev;2:int:eaew	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hhi.cs:10
MimicryRequest	MimicryRequest	hhj	C2S	1:int:eafb;2:int:eafc	refs/otomai/libs/Bubble.Shared/Protocol/Game/Hhj.cs:10
