nom_message_clair	nom_complet	opcode_ou_typeurl	direction	champs	fichier:ligne
AllianceFightLeaveRequest	com.ankama.dofus.server.game.protocol.alliance.conquest.AllianceFightLeaveRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.AllianceFightLeaveRequest	C2S	1:.com.ankama.dofus.server.game.protocol.common.SocialFightInformation:fight_information	refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:28
AllianceFightsInformationEvent	com.ankama.dofus.server.game.protocol.alliance.conquest.AllianceFightsInformationEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.AllianceFightsInformationEvent	S2C	1:repeated .com.ankama.dofus.server.game.protocol.common.SocialFight:alliance_fights	refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:32
AllianceFightStartedEvent	com.ankama.dofus.server.game.protocol.alliance.conquest.AllianceFightStartedEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.AllianceFightStartedEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.SocialFightInformation:fight_information;2:.com.ankama.dofus.server.game.protocol.common.FightPhaseInfo:phase	refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:36
AllianceFightFinishedEvent	com.ankama.dofus.server.game.protocol.alliance.conquest.AllianceFightFinishedEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.AllianceFightFinishedEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.SocialFightInformation:fight_information	refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:41
AllianceFightPhaseUpdateEvent	com.ankama.dofus.server.game.protocol.alliance.conquest.AllianceFightPhaseUpdateEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.AllianceFightPhaseUpdateEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.SocialFightInformation:fight_information;2:.com.ankama.dofus.server.game.protocol.common.FightPhaseInfo:phase	refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:45
AllianceFightFighterAddedEvent	com.ankama.dofus.server.game.protocol.alliance.conquest.AllianceFightFighterAddedEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.AllianceFightFighterAddedEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.SocialFightInformation:fight_information;2:.com.ankama.dofus.server.game.protocol.common.Character:fighter;3:.com.ankama.dofus.server.game.protocol.common.Team:team	refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:50
AllianceFightFighterRemovedEvent	com.ankama.dofus.server.game.protocol.alliance.conquest.AllianceFightFighterRemovedEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.AllianceFightFighterRemovedEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.SocialFightInformation:fight_information;2:int64:fighter_id	refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:56
KOTHUpdateEvent	com.ankama.dofus.server.game.protocol.alliance.conquest.KOTHUpdateEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.KOTHUpdateEvent	S2C	1:repeated .com.ankama.dofus.server.game.protocol.alliance.conquest.KOTHUpdateEvent.KOTHAllianceInformation:koth_alliance_information;2:string:starting_ava_timestamp;3:int64:next_tick_time	refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:61
KOTHAllianceInformation	com.ankama.dofus.server.game.protocol.alliance.conquest.KOTHUpdateEvent+KOTHAllianceInformation	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.KOTHUpdateEvent.KOTHAllianceInformation		1:.com.ankama.dofus.server.game.protocol.common.AllianceInformation:alliance;2:int64:member_count;3:repeated .com.ankama.dofus.server.game.protocol.alliance.conquest.KOTHUpdateEvent.KOTHAllianceInformation.KOTHAllianceRoleNumber:koth_roles;4:repeated .com.ankama.dofus.server.game.protocol.alliance.conquest.KOTHUpdateEvent.KOTHAllianceInformation.KOTHScore:scores;5:int32:match_domination_scores	refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:65
KOTHAllianceRoleNumber	com.ankama.dofus.server.game.protocol.alliance.conquest.KOTHUpdateEvent+KOTHAllianceInformation+KOTHAllianceRoleNumber	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.KOTHUpdateEvent.KOTHAllianceInformation.KOTHAllianceRoleNumber		1:int64:member_count;2:int32:koth_role	refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:71
KOTHScore	com.ankama.dofus.server.game.protocol.alliance.conquest.KOTHUpdateEvent+KOTHAllianceInformation+KOTHScore	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.KOTHUpdateEvent.KOTHAllianceInformation.KOTHScore		1:.com.ankama.dofus.server.game.protocol.alliance.conquest.KOTHUpdateEvent.KOTHAllianceInformation.KOTHScore.KOTHScoreType:score_type;2:int32:round_scores;3:int32:cumulated_scores	refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:76
KOTHEndEvent	com.ankama.dofus.server.game.protocol.alliance.conquest.KOTHEndEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.KOTHEndEvent	S2C	1:.com.ankama.dofus.server.game.protocol.common.AllianceInformation:winner	refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:92
NuggetsBeneficiary	com.ankama.dofus.server.game.protocol.alliance.conquest.NuggetsBeneficiary	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.NuggetsBeneficiary		1:int64:character_id;2:int32:nuggets_quantity	refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:96
NuggetsDistributionRequest	com.ankama.dofus.server.game.protocol.alliance.conquest.NuggetsDistributionRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.NuggetsDistributionRequest	C2S	1:repeated .com.ankama.dofus.server.game.protocol.alliance.conquest.NuggetsBeneficiary:beneficiaries	refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:101
NuggetsListenStartRequest	com.ankama.dofus.server.game.protocol.alliance.conquest.NuggetsListenStartRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.NuggetsListenStartRequest	C2S		refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:105
NuggetsListenStopRequest	com.ankama.dofus.server.game.protocol.alliance.conquest.NuggetsListenStopRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.NuggetsListenStopRequest	C2S		refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:108
NuggetsInformationEvent	com.ankama.dofus.server.game.protocol.alliance.conquest.NuggetsInformationEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.conquest.NuggetsInformationEvent	S2C	1:int32:nuggets_quantity	refs/dofus-unity-protocol-builder/proto/game/alliance_conquest.proto:111
AllianceCreationValidRequest	com.ankama.dofus.server.game.protocol.alliance.information.AllianceCreationValidRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceCreationValidRequest	C2S	1:string:alliance_name;2:string:alliance_tag;3:.com.ankama.dofus.server.game.protocol.common.SocialEmblem:alliance_emblem	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:9
AllianceEmblemModificationValidRequest	com.ankama.dofus.server.game.protocol.alliance.information.AllianceEmblemModificationValidRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceEmblemModificationValidRequest	C2S	1:.com.ankama.dofus.server.game.protocol.common.SocialEmblem:alliance_emblem	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:15
AllianceNameAndTagModificationValidRequest	com.ankama.dofus.server.game.protocol.alliance.information.AllianceNameAndTagModificationValidRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceNameAndTagModificationValidRequest	C2S	1:string:alliance_name;2:string:alliance_tag	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:19
AllianceModificationValidRequest	com.ankama.dofus.server.game.protocol.alliance.information.AllianceModificationValidRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceModificationValidRequest	C2S	1:string:alliance_name;2:string:alliance_tag;3:.com.ankama.dofus.server.game.protocol.common.SocialEmblem:alliance_emblem	refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:24
AllianceMemberStartWarningOnConnectionRequest	com.ankama.dofus.server.game.protocol.alliance.information.AllianceMemberStartWarningOnConnectionRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceMemberStartWarningOnConnectionRequest	C2S		refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:30
AllianceMemberStopWarningOnConnectionRequest	com.ankama.dofus.server.game.protocol.alliance.information.AllianceMemberStopWarningOnConnectionRequest	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceMemberStopWarningOnConnectionRequest	C2S		refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:33
AllianceCreationStartedEvent	com.ankama.dofus.server.game.protocol.alliance.information.AllianceCreationStartedEvent	type.ankama.com/com.ankama.dofus.server.game.protocol.alliance.information.AllianceCreationStartedEvent	S2C		refs/dofus-unity-protocol-builder/proto/game/alliance_information.proto:36
