raw	motif	fichier:ligne
[ProtoContract]	attribut sans classe/enum reconnue dans les 500c suivants	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:677
[ProtoContract]	attribut sans classe/enum reconnue dans les 500c suivants	refs/otomai/libs/Bubble.Shared/Protocol/Connection/LoginMessage.cs:677
