enum_nom	fichier:ligne	nb_valeurs	valeurs	version
ChatActivableChannelsEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/ChatActivableChannelsEnum.as:3	15	CHANNEL_GLOBAL=0;CHANNEL_TEAM=1;CHANNEL_GUILD=2;CHANNEL_ALLIANCE=3;CHANNEL_PARTY=4;CHANNEL_SALES=5;CHANNEL_SEEK=6;CHANNEL_NOOB=7;CHANNEL_ADMIN=8;CHANNEL_ADS=12;CHANNEL_ARENA=13;CHANNEL_COMMUNITY=14;PSEUDO_CHANNEL_PRIVATE=9;PSEUDO_CHANNEL_INFO=10;PSEUDO_CHANNEL_FIGHT_LOG=11	242
ChatChannelsMultiEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/ChatChannelsMultiEnum.as:3	12	CHANNEL_GLOBAL=0;CHANNEL_TEAM=1;CHANNEL_GUILD=2;CHANNEL_ALLIANCE=3;CHANNEL_PARTY=4;CHANNEL_SALES=5;CHANNEL_SEEK=6;CHANNEL_NOOB=7;CHANNEL_ADMIN=8;CHANNEL_ADS=12;CHANNEL_ARENA=13;CHANNEL_COMMUNITY=14	242
ChatErrorEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/ChatErrorEnum.as:3	11	CHAT_ERROR_UNKNOWN=0;CHAT_ERROR_RECEIVER_NOT_FOUND=1;CHAT_ERROR_INTERIOR_MONOLOGUE=2;CHAT_ERROR_NO_GUILD=3;CHAT_ERROR_NO_PARTY=4;CHAT_ERROR_ALLIANCE=5;CHAT_ERROR_INVALID_MAP=6;CHAT_ERROR_NO_PARTY_ARENA=7;CHAT_ERROR_NO_TEAM=8;CHAT_ERROR_MALFORMED_CONTENT=9;CHAT_ERROR_NO_CHANNEL_COMMUNITY=10	242
ClientInstallTypeEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/ClientInstallTypeEnum.as:4	3	CLIENT_INSTALL_UNKNOWN=0;CLIENT_BUNDLE=1;CLIENT_STREAMING=2	242
ClientTechnologyEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/ClientTechnologyEnum.as:4	3	CLIENT_TECHNOLOGY_UNKNOWN=0;CLIENT_AIR=1;CLIENT_FLASH=2	242
CompassTypeEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/CompassTypeEnum.as:3	5	COMPASS_TYPE_SIMPLE=0;COMPASS_TYPE_SPOUSE=1;COMPASS_TYPE_PARTY=2;COMPASS_TYPE_PVP_SEEK=3;COMPASS_TYPE_QUEST=4	242
ConsoleMessageTypeEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/ConsoleMessageTypeEnum.as:4	3	CONSOLE_TEXT_MESSAGE=0;CONSOLE_INFO_MESSAGE=1;CONSOLE_ERR_MESSAGE=2	242
CraftResultEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/CraftResultEnum.as:3	4	CRAFT_IMPOSSIBLE=0;CRAFT_FAILED=1;CRAFT_SUCCESS=2;CRAFT_NEUTRAL=3	242
DareCriteriaTypeEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/DareCriteriaTypeEnum.as:3	11	MONSTER_ID=0;CHALLENGE_ID=1;IDOLS=2;IDOLS_SCORE=3;MAX_CHAR_LVL=4;MAX_FIGHT_TURNS=5;MAX_COUNT_CHAR=6;MIN_COUNT_CHAR=7;FORBIDDEN_BREEDS=8;MANDATORY_BREEDS=9;MIN_COUNT_MONSTERS=10	242
DareErrorEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/DareErrorEnum.as:3	5	UKNOWN_ERROR=0;DARE_CREATION_FAILED=1;DARE_UNKNOWN=2;DARE_CANT_CANCEL=3;DARE_REWARD_UNKNOWN=4	242
DebugLevelEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/DebugLevelEnum.as:4	6	LEVEL_TRACE=0;LEVEL_DEBUG=1;LEVEL_INFO=2;LEVEL_WARN=3;LEVEL_ERROR=4;LEVEL_FATAL=5	242
DelayedActionTypeEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/DelayedActionTypeEnum.as:4	4	DELAYED_ACTION_DISCONNECT=0;DELAYED_ACTION_OBJECT_USE=1;DELAYED_ACTION_JOIN_CHARACTER=2;DELAYED_ACTION_AGGRESSION_IMMUNE=3	242
DialogTypeEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/DialogTypeEnum.as:4	16	DIALOG_BOOK=0;DIALOG_DIALOG=1;DIALOG_LOCKABLE=2;DIALOG_PURCHASABLE=3;DIALOG_GUILD_INVITATION=4;DIALOG_GUILD_CREATE=5;DIALOG_GUILD_RENAME=6;DIALOG_MARRIAGE=7;DIALOG_DUNGEON_MEETING=8;DIALOG_SPELL_FORGET=9;DIALOG_TELEPORTER=10;DIALOG_EXCHANGE=11;DIALOG_ALLIANCE_INVITATION=12;DIALOG_ALLIANCE_CREATE=13;DIALOG_ALLIANCE_RENAME=14;DIALOG_HAVENBAG_MEETING=15	242
DirectionsEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/DirectionsEnum.as:3	8	DIRECTION_EAST=0;DIRECTION_SOUTH_EAST=1;DIRECTION_SOUTH=2;DIRECTION_SOUTH_WEST=3;DIRECTION_WEST=4;DIRECTION_NORTH_WEST=5;DIRECTION_NORTH=6;DIRECTION_NORTH_EAST=7	242
ExchangeErrorEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/ExchangeErrorEnum.as:3	12	REQUEST_IMPOSSIBLE=1;REQUEST_CHARACTER_OCCUPIED=2;REQUEST_CHARACTER_JOB_NOT_EQUIPED=3;REQUEST_CHARACTER_TOOL_TOO_FAR=4;REQUEST_CHARACTER_OVERLOADED=5;REQUEST_CHARACTER_NOT_SUSCRIBER=6;REQUEST_CHARACTER_RESTRICTED=7;REQUEST_CHARACTER_GUEST=8;SELL_ERROR=63;BUY_ERROR=64;MOUNT_PADDOCK_ERROR=10;BID_SEARCH_ERROR=11	242
ExchangeReplayStopReasonEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/ExchangeReplayStopReasonEnum.as:3	4	STOPPED_REASON_OK=1;STOPPED_REASON_USER=2;STOPPED_REASON_MISSING_RESSOURCE=3;STOPPED_REASON_IMPOSSIBLE_MODIFICATION=4	242
ExchangeTypeEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/ExchangeTypeEnum.as:3	27	NPC_SHOP=0;PLAYER_TRADE=1;NPC_TRADE=2;CRAFT=3;DISCONNECTED_VENDOR=4;STORAGE=5;SHOP_STOCK=6;TAXCOLLECTOR=8;NPC_MODIFY_TRADE=9;BIDHOUSE_SELL=10;BIDHOUSE_BUY=11;MULTICRAFT_CRAFTER=12;MULTICRAFT_CUSTOMER=13;JOB_INDEX=14;MOUNT=15;MOUNT_STABLE=16;NPC_RESURECT_PET=17;NPC_TRADE_RIDE=18;REALESTATE_HOUSE=19;REALESTATE_FARM=20;RUNES_TRADE=21;RECYCLE_TRADE=22;BANK=23;TRASHBIN=24;ALLIANCE_PRISM=25;HAVENBAG=26;NPC_TRADE_MULDO=27	242
FightDispellableEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/FightDispellableEnum.as:3	4	DISPELLABLE=1;DISPELLABLE_BY_DEATH=2;DISPELLABLE_BY_STRONG_DISPEL=3;REALLY_NOT_DISPELLABLE=4	242
FightOptionsEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/FightOptionsEnum.as:3	4	FIGHT_OPTION_SET_SECRET=0;FIGHT_OPTION_SET_TO_PARTY_ONLY=1;FIGHT_OPTION_SET_CLOSED=2;FIGHT_OPTION_ASK_FOR_HELP=3	242
FightOutcomeEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/FightOutcomeEnum.as:3	5	RESULT_LOST=0;RESULT_DRAW=1;RESULT_VICTORY=2;RESULT_TAX=5;RESULT_DEFENDER_GROUP=6	242
FightSpellCastCriticalEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/FightSpellCastCriticalEnum.as:3	3	NORMAL=1;CRITICAL_HIT=2;CRITICAL_FAIL=3	242
FightTypeEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/FightTypeEnum.as:3	10	FIGHT_TYPE_CHALLENGE=0;FIGHT_TYPE_AGRESSION=1;FIGHT_TYPE_PvMA=2;FIGHT_TYPE_MXvM=3;FIGHT_TYPE_PvM=4;FIGHT_TYPE_PvT=5;FIGHT_TYPE_PvMU=6;FIGHT_TYPE_PVP_ARENA=7;FIGHT_TYPE_Koh=8;FIGHT_TYPE_PvPr=9	242
FighterRefusedReasonEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/FighterRefusedReasonEnum.as:3	25	FIGHTER_REFUSED=-1;FIGHTER_ACCEPTED=0;CHALLENGE_FULL=1;TEAM_FULL=2;WRONG_ALIGNMENT=3;WRONG_GUILD=4;TOO_LATE=5;MUTANT_REFUSED=6;WRONG_MAP=7;JUST_RESPAWNED=8;IM_OCCUPIED=9;OPPONENT_OCCUPIED=10;FIGHT_MYSELF=11;INSUFFICIENT_RIGHTS=12;MEMBER_ACCOUNT_NEEDED=13;OPPONENT_NOT_MEMBER=14;TEAM_LIMITED_BY_MAINCHARACTER=15;MULTIACCOUNT_NOT_ALLOWED=16;GHOST_REFUSED=17;RESTRICTED_ACCOUNT=19;WRONG_ALLIANCE=20;AVA_ZONE=21;COMPANION_REFUSED=22;NOT_ENOUGH_ROOM=23;GUEST_ACCOUNT=24	242
GameActionFightInvisibilityStateEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/GameActionFightInvisibilityStateEnum.as:3	3	INVISIBLE=1;DETECTED=2;VISIBLE=3	242
GameActionMarkCellsTypeEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/GameActionMarkCellsTypeEnum.as:3	3	CELLS_CIRCLE=0;CELLS_CROSS=1;CELLS_SQUARE=2	242
GameActionMarkTypeEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/GameActionMarkTypeEnum.as:3	5	GLYPH=1;TRAP=2;WALL=3;PORTAL=4;RUNE=5	242
GameContextEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/GameContextEnum.as:3	2	ROLE_PLAY=1;FIGHT=2	242
GameHierarchyEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/GameHierarchyEnum.as:4	6	UNAVAILABLE=-1;PLAYER=0;MODERATOR=10;GAMEMASTER_PADAWAN=20;GAMEMASTER=30;ADMIN=40	242
GuestLimitationEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/GuestLimitationEnum.as:3	8	LIMITED_TO_REGISTERED=0;GUEST_LIMIT_ON_JOB_XP=1;GUEST_LIMIT_ON_JOB_USE=2;GUEST_LIMIT_ON_MAP=3;GUEST_LIMIT_ON_ITEM=4;GUEST_LIMIT_ON_VENDOR=5;GUEST_LIMIT_ON_CHAT=6;GUEST_LIMIT_ON_GUILD=7	242
GuildInformationsTypeEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/GuildInformationsTypeEnum.as:4	8	INFO_GENERAL=1;INFO_MEMBERS=2;INFO_BOOSTS=3;INFO_PADDOCKS=4;INFO_HOUSES=5;INFO_TAX_COLLECTOR_GUILD_ONLY=6;INFO_TAX_COLLECTOR_ALLIANCE=7;INFO_TAX_COLLECTOR_LEAVE=8	242
GuildRightsBitEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/GuildRightsBitEnum.as:3	18	GUILD_RIGHT_NONE=0;GUILD_RIGHT_BOSS=1;GUILD_RIGHT_MANAGE_GUILD_BOOSTS=2;GUILD_RIGHT_MANAGE_RIGHTS=4;GUILD_RIGHT_INVITE_NEW_MEMBERS=8;GUILD_RIGHT_BAN_MEMBERS=16;GUILD_RIGHT_MANAGE_XP_CONTRIBUTION=32;GUILD_RIGHT_MANAGE_RANKS=64;GUILD_RIGHT_HIRE_TAX_COLLECTOR=128;GUILD_RIGHT_MANAGE_MY_XP_CONTRIBUTION=256;GUILD_RIGHT_COLLECT=512;GUILD_RIGHT_USE_PADDOCKS=4096;GUILD_RIGHT_ORGANIZE_PADDOCKS=8192;GUILD_RIGHT_TAKE_OTHERS_MOUNTS_IN_PADDOCKS=16384;GUILD_RIGHT_DEFENSE_PRIORITY=32768;GUILD_RIGHT_COLLECT_MY_TAX_COLLECTOR=65536;GUILD_RIGHT_SET_ALLIANCE_PRISM=131072;GUILD_RIGHT_TALK_IN_ALLIANCE_CHAN=262144	242
HardcoreOrEpicDeathStateEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/HardcoreOrEpicDeathStateEnum.as:4	3	DEATH_STATE_ALIVE=0;DEATH_STATE_DEAD=1;DEATH_STATE_WAITING_CONFIRMATION=2	242
HavenBagDailyLoteryErrorEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/HavenBagDailyLoteryErrorEnum.as:3	3	HAVENBAG_DAILY_LOTERY_OK=0;HAVENBAG_DAILY_LOTERY_ALREADYUSED=1;HAVENBAG_DAILY_LOTERY_ERROR=2	242
IdentificationFailureReasonEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/IdentificationFailureReasonEnum.as:4	17	BAD_VERSION=1;WRONG_CREDENTIALS=2;BANNED=3;KICKED=4;IN_MAINTENANCE=5;TOO_MANY_ON_IP=6;TIME_OUT=7;BAD_IPRANGE=8;CREDENTIALS_RESET=9;EMAIL_UNVALIDATED=10;OTP_TIMEOUT=11;LOCKED=12;SERVICE_UNAVAILABLE=53;EXTERNAL_ACCOUNT_LINK_REFUSED=61;EXTERNAL_ACCOUNT_ALREADY_LINKED=62;UNKNOWN_AUTH_ERROR=99;SPARE=100	242
ListAddFailureEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/ListAddFailureEnum.as:3	5	LIST_ADD_FAILURE_UNKNOWN=0;LIST_ADD_FAILURE_OVER_QUOTA=1;LIST_ADD_FAILURE_NOT_FOUND=2;LIST_ADD_FAILURE_EGOCENTRIC=3;LIST_ADD_FAILURE_IS_DOUBLE=4	242
MapObstacleStateEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/MapObstacleStateEnum.as:4	2	OBSTACLE_OPENED=1;OBSTACLE_CLOSED=2	242
MountEquipedErrorEnum	sources/client242-as3/scripts/com/ankamagames/dofus/network/enums/MountEquipedErrorEnum.as:3	3	UNSET=0;SET=1;RIDING=2	242
