type_nom	protocol_id	fichier:ligne	nb_champs	champs	parent	ordre_serialisation	emu	version
AbstractCharacterInformation	5789	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/game/character/AbstractCharacterInformation.as:8	1	id:Number		id:writeVarLong	client-as3	273
AbstractContactInformations	8841	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/game/friend/AbstractContactInformations.as:9	2	accountId:uint;accountTag:AccountTagInformation		accountId:writeInt;accountTag:asAccountTagInformation	client-as3	273
AbstractFightDispellableEffect	4079	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/game/actions/fight/AbstractFightDispellableEffect.as:8	7	uid:uint;targetId:Number;turnDuration:int;dispelable:uint;spellId:uint;effectId:uint;parentBoostUid:uint		uid:writeVarInt;targetId:writeDouble;turnDuration:writeShort;dispelable:writeByte;spellId:writeVarShort;effectId:writeVarInt;parentBoostUid:writeVarInt	client-as3	273
AbstractFightTeamInformations	8432	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/game/context/fight/AbstractFightTeamInformations.as:8	5	teamId:uint;leaderId:Number;teamSide:int;teamTypeId:uint;nbWaves:uint		teamId:writeByte;leaderId:writeDouble;teamSide:writeByte;teamTypeId:writeByte;nbWaves:writeByte	client-as3	273
AbstractPlayerSearchInformation	1300	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/common/AbstractPlayerSearchInformation.as:8	0				client-as3	273
AbstractSocialGroupInfos	6837	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/game/social/AbstractSocialGroupInfos.as:8	0				client-as3	273
AccountHouseInformations	8406	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/game/house/AccountHouseInformations.as:9	5	houseInfos:HouseInstanceInformations;worldX:int;worldY:int;mapId:Number;subAreaId:uint	HouseInformations	super:HouseInformations;#typeId:writeShort;houseInfos:serialize;worldX:writeShort;worldY:writeShort;mapId:writeDouble;subAreaId:writeVarShort	client-as3	273
AccountTagInformation	3196	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/common/AccountTagInformation.as:8	2	nickname:String;tagNumber:String		nickname:writeUTF;tagNumber:writeUTF	client-as3	273
Achievement	2764	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/game/achievement/Achievement.as:8	3	id:uint;finishedObjective:Vector.<AchievementObjective>;startedObjectives:Vector.<AchievementStartedObjective>		id:writeVarShort;finishedObjective#len:writeShort;finishedObjective[]:asAchievementObjective;startedObjectives#len:writeShort;startedObjectives[]:asAchievementStartedObjective	client-as3	273
AchievementAchieved	6607	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/game/achievement/AchievementAchieved.as:8	3	id:uint;achievedBy:Number;achievedPioneerRank:uint		id:writeVarShort;achievedBy:writeVarLong;achievedPioneerRank:writeVarInt	client-as3	273
AchievementAchievedRewardable	9874	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/game/achievement/AchievementAchievedRewardable.as:8	1	finishedLevel:uint	AchievementAchieved	super:AchievementAchieved;finishedLevel:writeVarShort	client-as3	273
AchievementObjective	2341	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/game/achievement/AchievementObjective.as:8	2	id:uint;maxValue:Number		id:writeVarInt;maxValue:writeVarLong	client-as3	273
AchievementPioneerRank	6487	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/game/achievement/AchievementPioneerRank.as:8	2	achievementId:uint;pioneerRank:uint		achievementId:writeVarInt;pioneerRank:writeVarInt	client-as3	273
AchievementStartedObjective	5360	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/game/achievement/AchievementStartedObjective.as:8	1	value:Number	AchievementObjective	super:AchievementObjective;value:writeVarLong	client-as3	273
AcquaintanceInformation	1584	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/game/friend/AcquaintanceInformation.as:9	1	playerState:uint	AbstractContactInformations	super:AbstractContactInformations;playerState:writeByte	client-as3	273
AcquaintanceOnlineInformation	251	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/game/friend/AcquaintanceOnlineInformation.as:11	4	playerId:Number;playerName:String;moodSmileyId:uint;status:PlayerStatus	AcquaintanceInformation	super:AcquaintanceInformation;playerId:writeVarLong;playerName:writeUTF;moodSmileyId:writeVarShort;#typeId:writeShort;status:serialize	client-as3	273
ActorAlignmentInformations	2626	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/game/character/alignment/ActorAlignmentInformations.as:8	4	alignmentSide:int;alignmentValue:uint;alignmentGrade:uint;characterPower:Number		alignmentSide:writeByte;alignmentValue:writeByte;alignmentGrade:writeByte;characterPower:writeDouble	client-as3	273
ActorExtendedAlignmentInformations	4048	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/types/game/character/alignment/ActorExtendedAlignmentInformations.as:8	4	honor:uint;honorGradeFloor:uint;honorNextGradeFloor:uint;aggressable:uint	ActorAlignmentInformations	super:ActorAlignmentInformations;honor:writeVarShort;honorGradeFloor:writeVarShort;honorNextGradeFloor:writeVarShort;aggressable:writeByte	client-as3	273
