message_nom	protocol_id	fichier:ligne	nb_champs	champs	parent	ordre_serialisation	emu	version
GameActionFightSpellCastMessage	1220	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightSpellCastMessage.as:10	3	spellId:uint;spellLevel:int;portalsIds:Vector.<int>	AbstractGameActionFightTargetedAbilityMessage	super:AbstractGameActionFightTargetedAbilityMessage;spellId:writeVarShort;spellLevel:writeShort;portalsIds#len:writeShort;portalsIds[]:writeShort	client-as3	268-partiel
GameActionFightSpellCooldownVariationMessage	4289	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightSpellCooldownVariationMessage.as:11	3	targetId:Number;spellId:uint;value:int	AbstractGameActionMessage	super:AbstractGameActionMessage;targetId:writeDouble;spellId:writeVarShort;value:writeVarShort	client-as3	268-partiel
GameActionFightSpellImmunityMessage	4010	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightSpellImmunityMessage.as:11	2	targetId:Number;spellId:uint	AbstractGameActionMessage	super:AbstractGameActionMessage;targetId:writeDouble;spellId:writeVarShort	client-as3	268-partiel
GameActionFightTackledMessage	5588	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightTackledMessage.as:11	1	tacklersIds:Vector.<Number>	AbstractGameActionMessage	super:AbstractGameActionMessage;tacklersIds#len:writeShort;tacklersIds[]:writeDouble	client-as3	268-partiel
GameActionFightTeleportOnSameMapMessage	6155	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightTeleportOnSameMapMessage.as:11	2	targetId:Number;cellId:int	AbstractGameActionMessage	super:AbstractGameActionMessage;targetId:writeDouble;cellId:writeShort	client-as3	268-partiel
GameActionFightThrowCharacterMessage	2852	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightThrowCharacterMessage.as:11	2	targetId:Number;cellId:int	AbstractGameActionMessage	super:AbstractGameActionMessage;targetId:writeDouble;cellId:writeShort	client-as3	268-partiel
GameActionFightTriggerEffectMessage	8781	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightTriggerEffectMessage.as:10	0		GameActionFightDispellEffectMessage	super:GameActionFightDispellEffectMessage	client-as3	268-partiel
GameActionFightTriggerGlyphTrapMessage	6805	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightTriggerGlyphTrapMessage.as:11	4	markId:int;markImpactCell:uint;triggeringCharacterId:Number;triggeredSpellId:uint	AbstractGameActionMessage	super:AbstractGameActionMessage;markId:writeShort;markImpactCell:writeVarShort;triggeringCharacterId:writeDouble;triggeredSpellId:writeVarShort	client-as3	268-partiel
GameActionFightVanishMessage	607	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/GameActionFightVanishMessage.as:11	1	targetId:Number	AbstractGameActionMessage	super:AbstractGameActionMessage;targetId:writeDouble	client-as3	268-partiel
GameFightRefreshFighterMessage	9672	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/context/fight/character/GameFightRefreshFighterMessage.as:13	1	informations:GameContextActorInformations	NetworkMessage	#typeId:writeShort;informations:serialize	client-as3	268-partiel
GameFightShowFighterMessage	3886	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/context/fight/character/GameFightShowFighterMessage.as:13	1	informations:GameFightFighterInformations	NetworkMessage	#typeId:writeShort;informations:serialize	client-as3	268-partiel
GameFightShowFighterRandomStaticPoseMessage	2392	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/context/fight/character/GameFightShowFighterRandomStaticPoseMessage.as:11	0		GameFightShowFighterMessage	super:GameFightShowFighterMessage	client-as3	268-partiel
GameFightSynchronizeMessage	4483	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/context/fight/GameFightSynchronizeMessage.as:13	1	fighters:Vector.<GameFightFighterInformations>	NetworkMessage	fighters#len:writeShort;fighters[]#typeId:writeShort;fighters[]:serialize	client-as3	268-partiel
GameFightTurnListMessage	102	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/context/fight/GameFightTurnListMessage.as:11	2	ids:Vector.<Number>;deadsIds:Vector.<Number>	NetworkMessage	ids#len:writeShort;ids[]:writeDouble;deadsIds#len:writeShort;deadsIds[]:writeDouble	client-as3	268-partiel
GameMapMovementMessage	6174	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/context/GameMapMovementMessage.as:11	3	keyMovements:Vector.<uint>;forcedDirection:int;actorId:Number	NetworkMessage	keyMovements#len:writeShort;keyMovements[]:writeShort;forcedDirection:writeShort;actorId:writeDouble	client-as3	268-partiel
RefreshCharacterStatsMessage	7193	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/context/fight/RefreshCharacterStatsMessage.as:12	2	fighterId:Number;stats:GameFightCharacteristics	NetworkMessage	fighterId:writeDouble;stats:asGameFightCharacteristics	client-as3	268-partiel
SequenceStartMessage	7930	sources/client268-as3/scripts/com/ankamagames/dofus/network/messages/game/actions/sequence/SequenceStartMessage.as:11	2	sequenceType:int;authorId:Number	NetworkMessage	sequenceType:writeByte;authorId:writeDouble	client-as3	268-partiel
