enum_nom	fichier:ligne	nb_valeurs	valeurs	version
AccessoryPreviewErrorEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/AccessoryPreviewErrorEnum.as:3	3	PREVIEW_ERROR=0;PREVIEW_COOLDOWN=1;PREVIEW_BAD_ITEM=2	273
AggressableStatusEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/AggressableStatusEnum.as:3	7	NON_AGGRESSABLE=0;PvP_ENABLED_AGGRESSABLE=10;PvP_ENABLED_NON_AGGRESSABLE=11;AvA_ENABLED_AGGRESSABLE=20;AvA_ENABLED_NON_AGGRESSABLE=21;AvA_DISQUALIFIED=22;AvA_PREQUALIFIED_AGGRESSABLE=23	273
AlignmentSideEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/AlignmentSideEnum.as:3	5	ALIGNMENT_UNKNOWN=-2;ALIGNMENT_WITHOUT=-1;ALIGNMENT_NEUTRAL=0;ALIGNMENT_ANGEL=1;ALIGNMENT_EVIL=2	273
AlignmentWarEffortDonationResultEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/AlignmentWarEffortDonationResultEnum.as:3	5	WAR_EFFORT_DONATION_SUCCESS=0;WAR_EFFORT_DONATION_ERROR_NOT_ENOUGH_KAMAS=1;WAR_EFFORT_DONATION_ERROR_INVALID_ALIGNMENT=2;WAR_EFFORT_DONATION_ERROR_KAMAS_LIMIT_REACH=3;WAR_EFFORT_DONATION_ERROR_UNKNOWN=4	273
AllianceDirectoryTextFilterEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/AllianceDirectoryTextFilterEnum.as:3	3	ALLIANCE_SEARCH_DEFAULT_FILTER=0;ALLIANCE_SEARCH_NAME_FILTER=1;ALLIANCE_SEARCH_TAG_FILTER=2	273
AlliancePrismCristalTypeEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/AlliancePrismCristalTypeEnum.as:3	3	NO_CRISTAL=-1;PROTECTIVE=0;INHIBITOR=1	273
AlliancePrismModuleTypeEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/AlliancePrismModuleTypeEnum.as:3	3	NO_MODULE=-1;TELEPORTER=0;RECYCLER=1	273
AllianceRightsEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/AllianceRightsEnum.as:3	19	RIGHT_MANAGE_ALLIANCE_RANKS_AND_RIGHTS=1;RIGHT_ASSIGN_ALLIANCE_RANKS=2;RIGHT_UPDATE_ALLIANCE_MOTD=3;RIGHT_SET_ALLIANCE_PRISM=4;RIGHT_SET_ALLIANCE_ROLE_MYSELF=5;RIGHT_WATCH_NUGGETS_COUNT=6;RIGHT_MANAGE_NUGGETS=7;RIGHT_PARAMETER_DEFAULT_TAX_COLLECTOR=8;RIGHT_PRIORITY_DEFENSE_TAX_COLLECTOR=9;RIGHT_SET_TAX_COLLECTOR=10;RIGHT_MANAGE_ALL_TAX_COLLECTOR=11;RIGHT_MANAGE_OWN_TAX_COLLECTOR=12;RIGHT_UPDATE_ALLIANCE_BULLETIN=13;RIGHT_MANAGE_ALLIANCE_APPLY_AND_INVITATION=15;RIGHT_ALLIANCE_KICK_MEMBER=16;RIGHT_PRIORITY_CONTROL_TAX_COLLECTOR=17;RIGHT_TAX_COLLECTOR_COLLECT_OWN=18;RIGHT_TAX_COLLECTOR_COLLECT_ALL=19;RIGHT_MANAGE_ALLIANCE_RECRUITMENT=21	273
AllianceSummarySortEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/AllianceSummarySortEnum.as:3	4	SORT_BY_ALLIANCE_NAME=0;SORT_BY_ALLIANCE_TAG=1;SORT_BY_NB_TERRITORIES=2;SORT_BY_ALLIANCE_NB_MEMBERS=3	273
AlterationExpirationTypeEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/AlterationExpirationTypeEnum.as:3	6	ALTERATION_UNKNOWN=0;ALTERATION_INFINITE=1;ALTERATION_DATE=2;ALTERATION_FIGHT_COUNT=4;ALTERATION_FIGHTS_WON_COUNT=5;ALTERATION_FIGHTS_LOST_COUNT=6	273
AvaScoreTypeEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/AvaScoreTypeEnum.as:3	3	AVA_FIGHT=0;AVA_DOMINATION=1;AVA_PRISM=2	273
BidActionEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/BidActionEnum.as:3	7	INVALID_ACTION=0;CONSUME_BUFF=1;CANCEL=2;CREATE_KAMA=3;CREATE_OGRINE=4;BUY_KAMA=5;BUY_OGRINE=6	273
BidCancellationEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/BidCancellationEnum.as:3	3	UNKNOWN_TYPE=0;CLASSIC=1;FRAUD=2	273
BidValidationEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/BidValidationEnum.as:3	10	GENERIC_ERROR=0;BUFFER_OVERLOAD=1;OFFER_DOESNT_EXIST=2;OFFER_ALREADY_EXISTS=3;NOT_ENOUGH_KAMAS=4;NOT_ENOUGH_OGRINES=5;SERVER_MAINTENANCE=6;PLAYER_IN_DEBT=7;OFFER_IS_YOURS=8;VALIDATION_SUCCESS=100	273
BoostableCharacteristicEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/BoostableCharacteristicEnum.as:3	6	BOOSTABLE_CHARAC_STRENGTH=10;BOOSTABLE_CHARAC_VITALITY=11;BOOSTABLE_CHARAC_WISDOM=12;BOOSTABLE_CHARAC_CHANCE=13;BOOSTABLE_CHARAC_AGILITY=14;BOOSTABLE_CHARAC_INTELLIGENCE=15	273
BreachRewardLockEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/BreachRewardLockEnum.as:3	6	BREACH_REWARD_LOCK_OWNER=0;BREACH_REWARD_LOCK_FIGHTER=1;BREACH_REWARD_LOCK_RESOURCES=2;BREACH_REWARD_LOCK_CRITERION=3;BREACH_REWARD_LOCK_USELESS=4;BREACH_REWARD_MAX_PURCHASE_REACHED=5	273
BreachRoomUnlockEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/BreachRoomUnlockEnum.as:3	2	BREACH_UNLOCK_SUCCESS=0;BREACH_UNLOCK_FAIL_NOT_ENOUGH_BUDGET=1	273
BreedEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/BreedEnum.as:3	30	UNDEFINED=0;Feca=1;Osamodas=2;Enutrof=3;Sram=4;Xelor=5;Ecaflip=6;Eniripsa=7;Iop=8;Cra=9;Sadida=10;Sacrieur=11;Pandawa=12;Roublard=13;Zobal=14;Steamer=15;Eliotrope=16;Huppermage=17;Ouginak=18;Forgelance=20;SUMMONED=-1;MONSTER=-2;MONSTER_GROUP=-3;NPC=-4;TAX_COLLECTOR=-5;MUTANT=-6;MUTANT_IN_DUNGEON=-7;MOUNT_OUTSIDE=-8;PRISM=-9;INCARNATION=-10	273
BuildTypeEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/BuildTypeEnum.as:3	7	RELEASE=0;BETA=1;ALPHA=2;TESTING=3;INTERNAL=4;DEBUG=5;DRAFT=6	273
ChallengeBonusEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/ChallengeBonusEnum.as:3	2	CHALLENGE_EXPERIENCE_BONUS=0;CHALLENGE_DROP_BONUS=1	273
ChallengeModEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/ChallengeModEnum.as:3	2	CHALLENGE_CHOICE=0;CHALLENGE_RANDOM=1	273
ChallengeStateEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/ChallengeStateEnum.as:3	3	CHALLENGE_COMPLETED=0;CHALLENGE_FAILED=1;CHALLENGE_RUNNING=2	273
CharacterCreationResultEnum	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/enums/CharacterCreationResultEnum.as:3	6	OK=0;ERR_NO_REASON=1;ERR_INVALID_NAME=2;ERR_TOO_MANY_CHARACTERS=3;ERR_NOT_ALLOWED=4;ERR_NEW_PLAYER_NOT_ALLOWED=5	273
