type_nom	protocol_id	fichier:ligne	nb_champs	champs	parent	ordre_serialisation	emu	version
GameRolePlayHumanoidInformations	159	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/GameRolePlayHumanoidInformations.as:11	2	humanoidInfo:HumanInformations;accountId:uint	GameRolePlayNamedActorInformations	super:GameRolePlayNamedActorInformations;#typeId:writeShort;humanoidInfo:serialize;accountId:writeInt	client-as3	242
GameRolePlayMerchantInformations	129	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/GameRolePlayMerchantInformations.as:11	2	sellType:uint;options:Vector.<HumanOption>	GameRolePlayNamedActorInformations	super:GameRolePlayNamedActorInformations;sellType:writeByte;options#len:writeShort;options[]#typeId:writeShort;options[]:serialize	client-as3	242
GameRolePlayMountInformations	180	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/GameRolePlayMountInformations.as:10	2	ownerName:String;level:uint	GameRolePlayNamedActorInformations	super:GameRolePlayNamedActorInformations;ownerName:writeUTF;level:writeByte	client-as3	242
GameRolePlayMutantInformations	3	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/GameRolePlayMutantInformations.as:10	2	monsterId:uint;powerLevel:int	GameRolePlayHumanoidInformations	super:GameRolePlayHumanoidInformations;monsterId:writeVarShort;powerLevel:writeByte	client-as3	242
GameRolePlayNamedActorInformations	154	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/GameRolePlayNamedActorInformations.as:10	1	name:String	GameRolePlayActorInformations	super:GameRolePlayActorInformations;name:writeUTF	client-as3	242
GameRolePlayNpcInformations	156	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/GameRolePlayNpcInformations.as:10	3	npcId:uint;sex:Boolean;specialArtworkId:uint	GameRolePlayActorInformations	super:GameRolePlayActorInformations;npcId:writeVarShort;sex:writeBoolean;specialArtworkId:writeVarShort	client-as3	242
GameRolePlayNpcQuestFlag	384	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/quest/GameRolePlayNpcQuestFlag.as:8	2	questsToValidId:Vector.<uint>;questsToStartId:Vector.<uint>		questsToValidId#len:writeShort;questsToValidId[]:writeVarShort;questsToStartId#len:writeShort;questsToStartId[]:writeVarShort	client-as3	242
GameRolePlayNpcWithQuestInformations	383	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/GameRolePlayNpcWithQuestInformations.as:11	1	questFlag:GameRolePlayNpcQuestFlag	GameRolePlayNpcInformations	super:GameRolePlayNpcInformations;questFlag:asGameRolePlayNpcQuestFlag	client-as3	242
GameRolePlayPortalInformations	467	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/GameRolePlayPortalInformations.as:12	1	portal:PortalInformation	GameRolePlayActorInformations	super:GameRolePlayActorInformations;#typeId:writeShort;portal:serialize	client-as3	242
GameRolePlayPrismInformations	161	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/GameRolePlayPrismInformations.as:12	1	prism:PrismInformation	GameRolePlayActorInformations	super:GameRolePlayActorInformations;#typeId:writeShort;prism:serialize	client-as3	242
GameRolePlayTaxCollectorInformations	148	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/GameRolePlayTaxCollectorInformations.as:11	3	identification:TaxCollectorStaticInformations;guildLevel:uint;taxCollectorAttack:int	GameRolePlayActorInformations	super:GameRolePlayActorInformations;#typeId:writeShort;identification:serialize;guildLevel:writeByte;taxCollectorAttack:writeInt	client-as3	242
GameRolePlayTreasureHintInformations	471	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/GameRolePlayTreasureHintInformations.as:10	1	npcId:uint	GameRolePlayActorInformations	super:GameRolePlayActorInformations;npcId:writeVarShort	client-as3	242
GameServerInformations	25	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/connection/GameServerInformations.as:9	8	id:uint;type:int;status:uint;completion:uint;isSelectable:Boolean;charactersCount:uint;charactersSlots:uint;date:Number		id:writeVarShort;type:writeByte;status:writeByte;completion:writeByte;isSelectable:writeBoolean;charactersCount:writeByte;charactersSlots:writeByte;date:writeDouble	client-as3	242
GoldItem	123	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/data/items/GoldItem.as:8	1	sum:Number	Item	super:Item;sum:writeVarLong	client-as3	242
GroupMonsterStaticInformations	140	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/GroupMonsterStaticInformations.as:8	2	mainCreatureLightInfos:MonsterInGroupLightInformations;underlings:Vector.<MonsterInGroupInformations>		mainCreatureLightInfos:asMonsterInGroupLightInformations;underlings#len:writeShort;underlings[]:asMonsterInGroupInformations	client-as3	242
GroupMonsterStaticInformationsWithAlternatives	396	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/GroupMonsterStaticInformationsWithAlternatives.as:8	1	alternatives:Vector.<AlternativeMonstersInGroupLightInformations>	GroupMonsterStaticInformations	super:GroupMonsterStaticInformations;alternatives#len:writeShort;alternatives[]:asAlternativeMonstersInGroupLightInformations	client-as3	242
GuildEmblem	87	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/guild/GuildEmblem.as:8	4	symbolShape:uint;symbolColor:int;backgroundShape:uint;backgroundColor:int		symbolShape:writeVarShort;symbolColor:writeInt;backgroundShape:writeByte;backgroundColor:writeInt	client-as3	242
GuildFactSheetInformations	424	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/social/GuildFactSheetInformations.as:11	2	leaderId:Number;nbMembers:uint	GuildInformations	super:GuildInformations;leaderId:writeVarLong;nbMembers:writeVarShort	client-as3	242
GuildInAllianceInformations	420	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/GuildInAllianceInformations.as:9	1	nbMembers:uint	GuildInformations	super:GuildInformations;nbMembers:writeByte	client-as3	242
GuildInAllianceVersatileInformations	437	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/social/GuildInAllianceVersatileInformations.as:9	1	allianceId:uint	GuildVersatileInformations	super:GuildVersatileInformations;allianceId:writeVarInt	client-as3	242
GuildInformations	127	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/context/roleplay/GuildInformations.as:9	1	guildEmblem:GuildEmblem	BasicGuildInformations	super:BasicGuildInformations;guildEmblem:asGuildEmblem	client-as3	242
GuildInsiderFactSheetInformations	423	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/social/GuildInsiderFactSheetInformations.as:10	4	leaderName:String;nbConnectedMembers:uint;nbTaxCollectors:uint;lastActivity:uint	GuildFactSheetInformations	super:GuildFactSheetInformations;leaderName:writeUTF;nbConnectedMembers:writeVarShort;nbTaxCollectors:writeByte;lastActivity:writeInt	client-as3	242
GuildMember	88	sources/client242-as3/scripts/com/ankamagames/dofus/network/types/game/guild/GuildMember.as:12	14	breed:int;sex:Boolean;rank:uint;givenExperience:Number;experienceGivenPercent:uint;rights:uint;connected:uint;alignmentSide:int;hoursSinceLastConnection:uint;moodSmileyId:uint;accountId:uint;achievementPoints:int;status:PlayerStatus;havenBagShared:Boolean	CharacterMinimalInformations	super:CharacterMinimalInformations;sex:bit0;havenBagShared:bit1;#local:writeByte;breed:writeByte;rank:writeVarShort;givenExperience:writeVarLong;experienceGivenPercent:writeByte;rights:writeVarInt;connected:writeByte;alignmentSide:writeByte;hoursSinceLastConnection:writeShort;moodSmileyId:writeVarShort;accountId:writeInt;achievementPoints:writeInt;#typeId:writeShort;status:serialize	client-as3	242
