nature	nom_a	nom_b	id_a	id_b	detail	build_a	build_b
AJOUTE		ChallengeModSelectedMessage		4667		242	273
AJOUTE		ChallengeNumberMessage		2779		242	273
AJOUTE		ChallengeProposalMessage		8830		242	273
AJOUTE		ChallengeReadyMessage		9700		242	273
AJOUTE		ChallengeSelectedMessage		8045		242	273
AJOUTE		ChallengeSelectionMessage		5920		242	273
AJOUTE		ChallengeTargetsMessage		9097		242	273
AJOUTE		ChallengeTargetsRequestMessage		2450		242	273
AJOUTE		ChallengeValidateMessage		8427		242	273
AJOUTE		CharacterAlignmentWarEffortProgressionMessage		2916		242	273
AJOUTE		CharacterAlignmentWarEffortProgressionRequestMessage		946		242	273
AJOUTE		CharacterDeletionPrepareMessage		5348		242	273
AJOUTE		CharacterDeletionPrepareRequestMessage		3535	ambigu	242	273
AJOUTE		ChatKolizeumServerMessage		942		242	273
AJOUTE		ConfirmationOfListeningTaxCollectorUpdatesMessage		1625		242	273
AJOUTE		ConsoleEndMessage		9802		242	273
AJOUTE		ConsumeAllGameActionItemMessage		3120	ambigu	242	273
AJOUTE		ContactAddFailureMessage		2506	ambigu	242	273
AJOUTE		CreateGuildRankRequestMessage		1740		242	273
AJOUTE		CurrentMapInstanceMessage		5476		242	273
AJOUTE		DebtsDeleteMessage		7828		242	273
AJOUTE		DebtsUpdateMessage		8856		242	273
AJOUTE		DiceRollRequestMessage		8901		242	273
AJOUTE		DumpedEntityStatsMessage		2370		242	273
AJOUTE		EntitiesInformationMessage		266		242	273
AJOUTE		EntityInformationMessage		6850		242	273
AJOUTE		EvolutiveObjectRecycleResultMessage		5637		242	273
AJOUTE		ExchangeMoneyMovementInformationMessage		6145		242	273
AJOUTE		ExchangeObjectMoveToTabMessage		1002		242	273
AJOUTE		ExchangeStartOkEvolutiveObjectRecycleTradeMessage		9395		242	273
AJOUTE		ExchangeStartedTaxCollectorEquipmentMessage		9293		242	273
AJOUTE		ExchangeStartedWithMultiTabStorageMessage		4135		242	273
AJOUTE		ExchangeTaxCollectorGetMessage		3970		242	273
AJOUTE		ForceAccountErrorMessage		5352		242	273
AJOUTE		ForceAccountMessage		5654		242	273
AJOUTE		ForceAccountStatusMessage		25		242	273
AJOUTE		ForgettableSpellClientActionMessage		5459		242	273
AJOUTE		ForgettableSpellDeleteMessage		4353		242	273
AJOUTE		ForgettableSpellEquipmentSlotsMessage		41		242	273
AJOUTE		ForgettableSpellListUpdateMessage		6155		242	273
AJOUTE		FriendSetStatusShareMessage		5816		242	273
AJOUTE		FriendStatusShareStateMessage		8565		242	273
AJOUTE		GameActionFightMultipleSummonMessage		8549		242	273
AJOUTE		GameActionItemAddMessage		8509		242	273
AJOUTE		GameActionItemListMessage		6041		242	273
AJOUTE		GameActionSpamMessage		9805		242	273
AJOUTE		GameActionUpdateEffectTriggerCountMessage		6014		242	273
AJOUTE		GameFightPauseMessage		1045		242	273
AJOUTE		GameRolePlayArenaInvitationCandidatesAnswerMessage		953		242	273
AJOUTE		GameRolePlayArenaLeagueRewardsMessage		7599		242	273
AJOUTE		GameRolePlayArenaPlayerBehavioursMessage		1302		242	273
AJOUTE		GameRolePlayArenaRegistrationWarningMessage		8542		242	273
AJOUTE		GameRolePlayMonsterAngryAtPlayerMessage		9879		242	273
