message_nom	protocol_id	fichier:ligne	nb_champs	champs	parent	ordre_serialisation	emu	version
AbstractGameActionFightTargetedAbilityMessage	5172	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/actions/fight/AbstractGameActionFightTargetedAbilityMessage.as:12	5	targetId:Number;destinationCellId:int;critical:uint;silentCast:Boolean;verboseCast:Boolean	AbstractGameActionMessage	super:AbstractGameActionMessage;silentCast:bit0;verboseCast:bit1;#local:writeByte;targetId:writeDouble;destinationCellId:writeShort;critical:writeByte	client-as3	273
AbstractGameActionMessage	9631	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/actions/AbstractGameActionMessage.as:11	2	actionId:uint;sourceId:Number	NetworkMessage	actionId:writeVarShort;sourceId:writeDouble	client-as3	273
AbstractGameActionWithAckMessage	1587	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/actions/AbstractGameActionWithAckMessage.as:10	1	waitAckId:int	AbstractGameActionMessage	super:AbstractGameActionMessage;waitAckId:writeShort	client-as3	273
AbstractPartyEventMessage	5451	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/context/roleplay/party/AbstractPartyEventMessage.as:10	0		AbstractPartyMessage	super:AbstractPartyMessage	client-as3	273
AbstractPartyMemberInFightMessage	6938	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/context/roleplay/party/AbstractPartyMemberInFightMessage.as:10	6	reason:uint;memberId:Number;memberAccountId:uint;memberName:String;fightId:uint;timeBeforeFightStart:int	AbstractPartyMessage	super:AbstractPartyMessage;reason:writeByte;memberId:writeVarLong;memberAccountId:writeInt;memberName:writeUTF;fightId:writeVarShort;timeBeforeFightStart:writeVarShort	client-as3	273
AbstractPartyMessage	2039	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/context/roleplay/party/AbstractPartyMessage.as:11	1	partyId:uint	NetworkMessage	partyId:writeVarInt	client-as3	273
AccessoryPreviewErrorMessage	9621	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/look/AccessoryPreviewErrorMessage.as:11	1	error:uint	NetworkMessage	error:writeByte	client-as3	273
AccessoryPreviewMessage	1503	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/look/AccessoryPreviewMessage.as:12	1	look:EntityLook	NetworkMessage	look:asEntityLook	client-as3	273
AccessoryPreviewRequestMessage	375	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/look/AccessoryPreviewRequestMessage.as:11	1	genericId:Vector.<uint>	NetworkMessage	genericId#len:writeShort;genericId[]:writeVarInt	client-as3	273
AccountCapabilitiesMessage	8908	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/approach/AccountCapabilitiesMessage.as:12	4	accountId:uint;tutorialAvailable:Boolean;status:int;canCreateNewCharacter:Boolean	NetworkMessage	tutorialAvailable:bit0;canCreateNewCharacter:bit1;#local:writeByte;accountId:writeInt;status:writeByte	client-as3	273
AccountHouseMessage	7345	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/context/roleplay/houses/AccountHouseMessage.as:12	1	houses:Vector.<AccountHouseInformations>	NetworkMessage	houses#len:writeShort;houses[]:asAccountHouseInformations	client-as3	273
AccountInformationsUpdateMessage	4545	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/subscription/AccountInformationsUpdateMessage.as:11	1	subscriptionEndDate:Number	NetworkMessage	subscriptionEndDate:writeDouble	client-as3	273
AccountLinkRequiredMessage	590	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/connection/register/AccountLinkRequiredMessage.as:11	0		NetworkMessage		client-as3	273
AccountLoggingKickedMessage	2295	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/approach/AccountLoggingKickedMessage.as:11	3	days:uint;hours:uint;minutes:uint	NetworkMessage	days:writeVarShort;hours:writeByte;minutes:writeByte	client-as3	273
AccountSubscriptionElapsedDurationMessage	5336	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/subscription/AccountSubscriptionElapsedDurationMessage.as:11	1	subscriptionElapsedDuration:Number	NetworkMessage	subscriptionElapsedDuration:writeDouble	client-as3	273
AchievementAlmostFinishedDetailedListMessage	1205	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementAlmostFinishedDetailedListMessage.as:12	1	almostFinishedAchievements:Vector.<Achievement>	NetworkMessage	almostFinishedAchievements#len:writeShort;almostFinishedAchievements[]:asAchievement	client-as3	273
AchievementAlmostFinishedDetailedListRequestMessage	9909	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementAlmostFinishedDetailedListRequestMessage.as:11	0		NetworkMessage		client-as3	273
AchievementDetailedListMessage	2020	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementDetailedListMessage.as:12	2	startedAchievements:Vector.<Achievement>;finishedAchievements:Vector.<Achievement>	NetworkMessage	startedAchievements#len:writeShort;startedAchievements[]:asAchievement;finishedAchievements#len:writeShort;finishedAchievements[]:asAchievement	client-as3	273
AchievementDetailedListRequestMessage	7960	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementDetailedListRequestMessage.as:11	1	categoryId:uint	NetworkMessage	categoryId:writeVarShort	client-as3	273
AchievementDetailsMessage	2058	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementDetailsMessage.as:12	1	achievement:Achievement	NetworkMessage	achievement:asAchievement	client-as3	273
AchievementDetailsRequestMessage	7495	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementDetailsRequestMessage.as:11	1	achievementId:uint	NetworkMessage	achievementId:writeVarShort	client-as3	273
AchievementFinishedInformationMessage	1898	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementFinishedInformationMessage.as:11	2	name:String;playerId:Number	AchievementFinishedMessage	super:AchievementFinishedMessage;name:writeUTF;playerId:writeVarLong	client-as3	273
AchievementFinishedMessage	1474	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementFinishedMessage.as:12	1	achievement:AchievementAchievedRewardable	NetworkMessage	achievement:asAchievementAchievedRewardable	client-as3	273
AchievementListMessage	9652	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementListMessage.as:13	1	finishedAchievements:Vector.<AchievementAchieved>	NetworkMessage	finishedAchievements#len:writeShort;finishedAchievements[]#typeId:writeShort;finishedAchievements[]:serialize	client-as3	273
AchievementRewardErrorMessage	3079	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementRewardErrorMessage.as:11	1	achievementId:int	NetworkMessage	achievementId:writeShort	client-as3	273
AchievementRewardRequestMessage	1789	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementRewardRequestMessage.as:11	1	achievementId:int	NetworkMessage	achievementId:writeShort	client-as3	273
AchievementRewardSuccessMessage	1060	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementRewardSuccessMessage.as:11	1	achievementId:int	NetworkMessage	achievementId:writeShort	client-as3	273
AchievementsPioneerRanksMessage	3443	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementsPioneerRanksMessage.as:12	1	achievementsPioneerRanks:Vector.<AchievementPioneerRank>	NetworkMessage	achievementsPioneerRanks#len:writeShort;achievementsPioneerRanks[]:asAchievementPioneerRank	client-as3	273
AchievementsPioneerRanksRequestMessage	518	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/achievement/AchievementsPioneerRanksRequestMessage.as:11	0		NetworkMessage		client-as3	273
AcquaintanceAddedMessage	2270	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/friend/AcquaintanceAddedMessage.as:13	1	acquaintanceAdded:AcquaintanceInformation	NetworkMessage	#typeId:writeShort;acquaintanceAdded:serialize	client-as3	273
AcquaintanceSearchErrorMessage	2291	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/connection/search/AcquaintanceSearchErrorMessage.as:11	1	reason:uint	NetworkMessage	reason:writeByte	client-as3	273
AcquaintanceSearchMessage	1642	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/connection/search/AcquaintanceSearchMessage.as:12	1	tag:AccountTagInformation	NetworkMessage	tag:asAccountTagInformation	client-as3	273
AcquaintanceServerListMessage	8632	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/connection/search/AcquaintanceServerListMessage.as:11	1	servers:Vector.<uint>	NetworkMessage	servers#len:writeShort;servers[]:writeVarShort	client-as3	273
AcquaintancesGetListMessage	4481	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/friend/AcquaintancesGetListMessage.as:11	0		NetworkMessage		client-as3	273
AcquaintancesListMessage	5647	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/friend/AcquaintancesListMessage.as:13	1	acquaintanceList:Vector.<AcquaintanceInformation>	NetworkMessage	acquaintanceList#len:writeShort;acquaintanceList[]#typeId:writeShort;acquaintanceList[]:serialize	client-as3	273
ActivityHideRequestMessage	5903	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/progression/suggestion/ActivityHideRequestMessage.as:11	1	activityId:uint	NetworkMessage	activityId:writeVarShort	client-as3	273
ActivityLockRequestMessage	5738	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/progression/suggestion/ActivityLockRequestMessage.as:11	2	activityId:uint;lock:Boolean	NetworkMessage	activityId:writeVarShort;lock:writeBoolean	client-as3	273
ActivitySuggestionsMessage	5717	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/progression/suggestion/ActivitySuggestionsMessage.as:11	2	lockedActivitiesIds:Vector.<uint>;unlockedActivitiesIds:Vector.<uint>	NetworkMessage	lockedActivitiesIds#len:writeShort;lockedActivitiesIds[]:writeVarShort;unlockedActivitiesIds#len:writeShort;unlockedActivitiesIds[]:writeVarShort	client-as3	273
ActivitySuggestionsRequestMessage	5447	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/progression/suggestion/ActivitySuggestionsRequestMessage.as:11	5	minLevel:uint;maxLevel:uint;areaId:uint;activityCategoryId:uint;nbCards:uint	NetworkMessage	minLevel:writeVarShort;maxLevel:writeVarShort;areaId:writeVarShort;activityCategoryId:writeVarShort;nbCards:writeShort	client-as3	273
AddListenerOnSynchronizedStorageMessage	1826	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/guild/chest/AddListenerOnSynchronizedStorageMessage.as:11	1	player:String	NetworkMessage	player:writeUTF	client-as3	273
AddTaxCollectorOrderedSpellMessage	8298	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/collector/tax/AddTaxCollectorOrderedSpellMessage.as:12	2	taxCollectorId:Number;spell:TaxCollectorOrderedSpell	NetworkMessage	taxCollectorId:writeDouble;spell:asTaxCollectorOrderedSpell	client-as3	273
AddTaxCollectorPresetSpellMessage	6564	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/collector/tax/AddTaxCollectorPresetSpellMessage.as:13	2	presetId:Uuid;spell:TaxCollectorOrderedSpell	NetworkMessage	presetId:asUuid;spell:asTaxCollectorOrderedSpell	client-as3	273
AdminCommandMessage	9773	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/authorized/AdminCommandMessage.as:12	2	messageUuid:Uuid;content:String	NetworkMessage	messageUuid:asUuid;content:writeUTF	client-as3	273
AdminQuietCommandMessage	8282	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/authorized/AdminQuietCommandMessage.as:11	0		AdminCommandMessage	super:AdminCommandMessage	client-as3	273
AlignmentRankUpdateMessage	5019	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/pvp/AlignmentRankUpdateMessage.as:11	2	alignmentRank:uint;verbose:Boolean	NetworkMessage	alignmentRank:writeByte;verbose:writeBoolean	client-as3	273
AlignmentWarEffortDonatePreviewMessage	7642	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/character/alignment/war/effort/AlignmentWarEffortDonatePreviewMessage.as:11	1	xp:Number	NetworkMessage	xp:writeDouble	client-as3	273
AlignmentWarEffortDonateRequestMessage	5431	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/character/alignment/war/effort/AlignmentWarEffortDonateRequestMessage.as:11	1	donation:Number	NetworkMessage	donation:writeVarLong	client-as3	273
AlignmentWarEffortDonationResultMessage	1517	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/character/alignment/war/effort/AlignmentWarEffortDonationResultMessage.as:11	1	result:int	NetworkMessage	result:writeByte	client-as3	273
AlignmentWarEffortProgressionMessage	2045	sources/client273-as3/network/scripts/com/ankamagames/dofus/network/messages/game/context/roleplay/alignment/war/effort/AlignmentWarEffortProgressionMessage.as:12	1	effortProgressions:Vector.<AlignmentWarEffortInformation>	NetworkMessage	effortProgressions#len:writeShort;effortProgressions[]:asAlignmentWarEffortInformation	client-as3	273
