enum_nom	fichier:ligne	nb_valeurs	valeurs	version
BuildTypeEnum	sources/client268-as3/scripts/com/ankamagames/dofus/network/enums/BuildTypeEnum.as:3	7	RELEASE=0;BETA=1;ALPHA=2;TESTING=3;INTERNAL=4;DEBUG=5;DRAFT=6	268-partiel
ChatActivableChannelsEnum	sources/client268-as3/scripts/com/ankamagames/dofus/network/enums/ChatActivableChannelsEnum.as:3	15	CHANNEL_GLOBAL=0;CHANNEL_TEAM=1;CHANNEL_GUILD=2;CHANNEL_ALLIANCE=3;CHANNEL_PARTY=4;CHANNEL_SALES=5;CHANNEL_SEEK=6;CHANNEL_NOOB=7;CHANNEL_ADMIN=8;CHANNEL_ADS=12;CHANNEL_ARENA=13;CHANNEL_COMMUNITY=14;PSEUDO_CHANNEL_PRIVATE=9;PSEUDO_CHANNEL_INFO=10;PSEUDO_CHANNEL_FIGHT_LOG=11	268-partiel
FightSpellCastCriticalEnum	sources/client268-as3/scripts/com/ankamagames/dofus/network/enums/FightSpellCastCriticalEnum.as:3	3	NORMAL=1;CRITICAL_HIT=2;CRITICAL_FAIL=3	268-partiel
SubEntityBindingPointCategoryEnum	sources/client268-as3/scripts/com/ankamagames/dofus/network/enums/SubEntityBindingPointCategoryEnum.as:3	8	HOOK_POINT_CATEGORY_UNUSED=0;HOOK_POINT_CATEGORY_PET=1;HOOK_POINT_CATEGORY_MOUNT_DRIVER=2;HOOK_POINT_CATEGORY_LIFTED_ENTITY=3;HOOK_POINT_CATEGORY_BASE_BACKGROUND=4;HOOK_POINT_CATEGORY_BASE_FOREGROUND=6;HOOK_POINT_CATEGORY_PET_FOLLOWER=7;HOOK_POINT_CATEGORY_UNDERWATER_BUBBLES=8	268-partiel
